DATE,SALES_VOLUME
1/1/2015,3023
1/2/2015,3039
1/3/2015,3056
1/4/2015,3138
1/5/2015,3188
1/6/2015,3224
1/7/2015,3226
1/8/2015,3029
1/9/2015,2859
1/10/2015,2870
1/11/2015,2910
1/12/2015,3012
1/13/2015,3142
1/14/2015,3252
1/15/2015,3342
1/16/2015,3365
1/17/2015,3339
1/18/2015,3345
1/19/2015,3421
1/20/2015,3443
1/21/2015,3428
1/22/2015,3554
1/23/2015,3615
1/24/2015,3646
1/25/2015,3614
1/26/2015,3574
1/27/2015,3635
1/28/2015,3738
1/29/2015,3707
1/30/2015,3827
1/31/2015,4039
2/1/2015,4210
2/2/2015,4493
2/3/2015,4560
2/4/2015,4637
2/5/2015,4755
2/6/2015,4817
